date,identifier,caption
2021-06-19,BBCNEWS_20210619_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Owain. Saturday the 19th of June, and the charts are looking interesting. Let's start with the headline — a mix of sunshine and fair-weather cloud dominating the scene. Whatever you've got planned, it's worth a glance out the window first. Across north west England and the south west it'll feel mild and comfortable. If you've got the barbecue on standby, today might just be your day. A quick heads-up: nothing too dramatic on the charts today. Temperatures peaking near 17 degrees, warmest across London and the home counties. Overnight, lows of about 10 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. Right, that's me done. Look after yourselves out there."
2021-06-20,BBCNEWS_20210620_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Matt. Coming up to Sunday the 20th of June — here's how the next 24 hours are shaping up. Whatever you've got planned, it's worth a glance out the window first. The big picture today: plenty of warm sunshine for many of us. Southern scotland and north west England get the brunt of it — pleasantly warm. A quick heads-up: a lovely day to get outside if you can. Temperatures peaking near 18 degrees, warmest across the south east. After dark it dips to around 12 degrees, fresher in rural spots. And in the wider context — June so far: close to average, warm nights, wet in the southeast. I'll leave you there. Thanks for watching Weather World."
2021-06-21,BBCNEWS_20210621_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Sarah. Well, it's Monday the 21st of June, and there's a fair bit going on out there. Let's start with the headline — thicker cloud and spells of rain dominating the scene. If you're in north east England or over towards London and the home counties, expect it to feel damp and rather grey. The rain turning heavy at times, so allow extra time on the roads. Temperatures peaking near 13 degrees, warmest across the Midlands. Tonight, down to roughly 7 degrees — a chilly one for June. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. I know, I know — not what you wanted to hear on a weekend. And that's showing up in the day-to-day numbers. I'll hand you back to the studio — see you next time."
2021-06-22,BBCNEWS_20210622_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Tomasz. Tuesday the 22nd of June, and the charts are looking interesting. The broad story is rather a lot of cloud around, pretty much wherever you are. If you're in London and the home counties or over towards north west England, expect it to feel on the cool side for the time of year. You might want a light jacket first thing. Top temperatures today around 15, give or take, depending where you are. If you'd told me to pack a scarf for June, I'd have laughed — yet here we are. After dark it dips to around 8 degrees, fresher in rural spots. I'd keep the heating within easy reach, I won't lie. And in the wider context — June so far: close to average, warm nights, wet in the southeast. And on that note, I'll say cheerio. Back again soon."
2021-06-23,BBCNEWS_20210623_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Owain — and it's Wednesday the 23rd of June. Let's start with the headline — heavy, thundery downpours breaking out dominating the scene. I'll be honest, the forecast computers and I had words about this one. The ice cream van's going to be doing a roaring trade, that's for sure. If you're in Northern Ireland or over towards East Anglia, expect it to feel warm and very humid ahead of the storms. Into the afternoon, the south west sees much the same, with highs around 19 degrees. And in the wider context — June so far: close to average, warm nights, wet in the southeast. I'll hand you back to the studio — see you next time."
2021-06-24,BBCNEWS_20210624_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Owain. It's Thursday the 24th of June, so let's see what's in store across the UK. The broad story is a mix of sunshine and fair-weather cloud, pretty much wherever you are. Whatever you've got planned, it's worth a glance out the window first. The south west and London and the home counties get the brunt of it — mild and comfortable. Top temperatures today around 18, give or take, depending where you are. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. And that's your lot for now. Whatever you're up to, enjoy it."
2021-06-25,BBCNEWS_20210625_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Sarah. Coming up to Friday the 25th of June — here's how the next 24 hours are shaping up. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Overall, expect a mix of sunshine and fair-weather cloud across much of the country. London and the home counties and the south east get the brunt of it — mild and comfortable. Nothing too dramatic on the charts today. Temperatures peaking near 18 degrees, warmest across the Midlands. Overnight, lows of about 11 degrees in towns and cities, a touch cooler in the countryside. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. And on that note, I'll say cheerio. Back again soon."
2021-06-26,BBCNEWS_20210626_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Nina. Coming up to Saturday the 26th of June — here's how the next 24 hours are shaping up. The big picture today: rather a lot of cloud around for many of us. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. North west england and London and the home counties get the brunt of it — on the cool side for the time of year. You might want a light jacket first thing. Temperatures peaking near 13 degrees, warmest across southern Scotland. Tonight, down to roughly 6 degrees — a chilly one for June. And in the wider context — June so far: close to average, warm nights, wet in the southeast. Worth keeping an eye on as the summer unfolds. If you'd told me to pack a scarf for June, I'd have laughed — yet here we are. And that's your lot for now. Whatever you're up to, enjoy it."
2021-06-27,BBCNEWS_20210627_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Tomasz. Coming up to Sunday the 27th of June — here's how the next 24 hours are shaping up. Let's start with the headline — sunshine and scattered showers dominating the scene. North east england and the Midlands get the brunt of it — changeable, warm in the brighter spells. My garden's certainly not complaining about this one. By mid-afternoon we're looking at about 17 degrees in East Anglia. Whatever you've got planned, it's worth a glance out the window first. Looking at the bigger trend, this June has been close to average, warm nights, wet in the southeast. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2021-06-28,BBCNEWS_20210628_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Matt — and it's Monday the 28th of June. Let's start with the headline — a mix of sunshine and fair-weather cloud dominating the scene. East anglia and the Midlands get the brunt of it — mild and comfortable. If you've got the barbecue on standby, today might just be your day. Nothing too dramatic on the charts today. My garden's certainly not complaining about this one. Top temperatures today around 18, give or take, depending where you are. After dark it dips to around 10 degrees, fresher in rural spots. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2021-06-29,BBCNEWS_20210629_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Owain. It's Tuesday the 29th of June, so let's see what's in store across the UK. Let's start with the headline — strong sunshine and clear blue skies dominating the scene. If you're in Northern Ireland or over towards north east England, expect it to feel hot and increasingly uncomfortable in the strong June sun. Worth knowing — UV levels will be high to very high, so do take care out there. Temperatures peaking near 24 degrees, warmest across the south east. I'll be honest, the forecast computers and I had words about this one. Tonight, down to roughly 16 degrees — a muggy one. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. One day's weather is just that, of course, but the pattern's telling. I'll leave you there. Thanks for watching Weather World."
2021-06-30,BBCNEWS_20210630_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Sarah. Wednesday the 30th of June, and the charts are looking interesting. The big picture today: sunshine and scattered showers for many of us. North east england and the south west get the brunt of it — changeable, warm in the brighter spells. Into the afternoon, Northern Ireland sees much the same, with highs around 16 degrees. Overnight, lows of about 10 degrees in towns and cities, a touch cooler in the countryside. The brollies are going to be earning their keep. Stepping back, the month as a whole has been close to average, warm nights, wet in the southeast. And that's showing up in the day-to-day numbers. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2022-06-01,BBCNEWS_20220601_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Carol. Wednesday the 01st of June, and the charts are looking interesting. The broad story is plenty of warm sunshine, pretty much wherever you are. If you're in the south west or over towards Wales, expect it to feel pleasantly warm. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. A lovely day to get outside if you can. By mid-afternoon we're looking at about 20 degrees in London and the home counties. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. Whatever you've got planned, it's worth a glance out the window first. And that's showing up in the day-to-day numbers. That's all from me — take care, and I'll see you next time."
2022-06-02,BBCNEWS_20220602_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Matt — and it's Thursday the 02nd of June. Overall, expect rather a lot of cloud around across much of the country. East anglia and the south east get the brunt of it — on the cool side for the time of year. You might want a light jacket first thing. If you'd told me to pack a scarf for June, I'd have laughed — yet here we are. By mid-afternoon we're looking at about 15 degrees in Wales. After dark it dips to around 7 degrees, fresher in rural spots. Stepping back, the month as a whole has been warm overall with a short, sharp mid-month heatwave. And on that note, I'll say cheerio. Back again soon."
2022-06-03,BBCNEWS_20220603_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Owain. Friday the 03rd of June, and the charts are looking interesting. The broad story is sunshine and scattered showers, pretty much wherever you are. The highlands and Northern Ireland get the brunt of it — changeable, warm in the brighter spells. If the washing's out, you might want a quick rescue mission. Worth knowing — keep a brolly handy, the showers are hit and miss. Temperatures peaking near 17 degrees, warmest across the south west. Overnight, lows of about 10 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. One day's weather is just that, of course, but the pattern's telling. And that's your lot for now. Whatever you're up to, enjoy it."
2022-06-04,BBCNEWS_20220604_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Matt — and it's Saturday the 04th of June. The broad story is thicker cloud and spells of rain, pretty much wherever you are. Across north west England and the Highlands it'll feel damp and rather grey. The rain turning heavy at times, so allow extra time on the roads. Temperatures peaking near 16 degrees, warmest across Wales. Tonight, down to roughly 7 degrees — a chilly one for June. Stepping back, the month as a whole has been warm overall with a short, sharp mid-month heatwave. My garden's certainly not complaining about this one. And on that note, I'll say cheerio. Back again soon."
2022-06-05,BBCNEWS_20220605_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Owain. Well, it's Sunday the 05th of June, and there's a fair bit going on out there. The big picture today: strong sunshine and clear blue skies for many of us. I'll be honest, the forecast computers and I had words about this one. The midlands and the south east get the brunt of it — hot and increasingly uncomfortable in the strong June sun. Temperatures peaking near 24 degrees, warmest across north west England. Tonight, down to roughly 17 degrees — a muggy one. Honestly, it's the kind of day that makes you forget this is Britain. Stepping back, the month as a whole has been warm overall with a short, sharp mid-month heatwave. I'll hand you back to the studio — see you next time."
2022-06-06,BBCNEWS_20220606_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Nina. Monday the 06th of June, and the charts are looking interesting. I'll be honest, the forecast computers and I had words about this one. Let's start with the headline — a mix of sunshine and fair-weather cloud dominating the scene. For north west England, the south east and nearby, the word is mild and comfortable. Nothing too dramatic on the charts today. Top temperatures today around 17, give or take, depending where you are. After dark it dips to around 8 degrees, fresher in rural spots. Stepping back, the month as a whole has been warm overall with a short, sharp mid-month heatwave. One day's weather is just that, of course, but the pattern's telling. That's all from me — take care, and I'll see you next time."
2022-06-07,BBCNEWS_20220607_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Tomasz. It's Tuesday the 07th of June, so let's see what's in store across the UK. Honestly, it's the kind of day that makes you forget this is Britain. The big picture today: heavy, thundery downpours breaking out for many of us. East anglia and the Highlands get the brunt of it — warm and very humid ahead of the storms. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Temperatures peaking near 20 degrees, warmest across London and the home counties. Tonight, down to roughly 11 degrees — a chilly one for June. Stepping back, the month as a whole has been warm overall with a short, sharp mid-month heatwave. Right, that's me done. Look after yourselves out there."
2022-06-08,BBCNEWS_20220608_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Nina. Coming up to Wednesday the 08th of June — here's how the next 24 hours are shaping up. Let's start with the headline — strong sunshine and clear blue skies dominating the scene. If you're in the south east or over towards the Midlands, expect it to feel hot and increasingly uncomfortable in the strong June sun. Uv levels will be high to very high, so do take care out there. Top temperatures today around 22, give or take, depending where you are. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. Spare a thought for anyone stuck on a stuffy commute in this. My garden's certainly not complaining about this one. I'll hand you back to the studio — see you next time."
2022-06-09,BBCNEWS_20220609_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Owain. It's Thursday the 09th of June, so let's see what's in store across the UK. I'll be honest, the forecast computers and I had words about this one. Let's start with the headline — a mix of sunshine and fair-weather cloud dominating the scene. East anglia and the Highlands get the brunt of it — mild and comfortable. Top temperatures today around 17, give or take, depending where you are. Tonight, down to roughly 10 degrees — a chilly one for June. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. I'll leave you there. Thanks for watching Weather World."
2022-06-10,BBCNEWS_20220610_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Sarah. Well, it's Friday the 10th of June, and there's a fair bit going on out there. The big picture today: strong sunshine and clear blue skies for many of us. Wales and the Highlands get the brunt of it — hot and increasingly uncomfortable in the strong June sun. Find some shade, keep the water topped up, and don't forget the suncream. By mid-afternoon we're looking at about 23 degrees in East Anglia. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. Right, that's me done. Look after yourselves out there."
2022-06-11,BBCNEWS_20220611_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Tomasz. Saturday the 11th of June, and the charts are looking interesting. Let's start with the headline — heavy, thundery downpours breaking out dominating the scene. My garden's certainly not complaining about this one. London and the home counties and Wales get the brunt of it — warm and very humid ahead of the storms. Top temperatures today around 21, give or take, depending where you are. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. I'll leave you there. Thanks for watching Weather World."
2022-06-12,BBCNEWS_20220612_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Owain — and it's Sunday the 12th of June. The broad story is sunshine and scattered showers, pretty much wherever you are. For East Anglia, the Highlands and nearby, the word is changeable, warm in the brighter spells. Worth knowing — keep a brolly handy, the showers are hit and miss. By mid-afternoon we're looking at about 16 degrees in London and the home counties. Overnight, lows of about 10 degrees in towns and cities, a touch cooler in the countryside. The brollies are going to be earning their keep. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Spare a thought for anyone who's just washed the car. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2022-06-13,BBCNEWS_20220613_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Sarah. Coming up to Monday the 13th of June — here's how the next 24 hours are shaping up. Let's start with the headline — heavy, thundery downpours breaking out dominating the scene. For the south west, East Anglia and nearby, the word is warm and very humid ahead of the storms. Temperatures peaking near 18 degrees, warmest across the south east. Spare a thought for anyone stuck on a stuffy commute in this. Overnight, lows of about 12 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. And that's showing up in the day-to-day numbers. Right, that's me done. Look after yourselves out there."
2022-06-14,BBCNEWS_20220614_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Owain — and it's Tuesday the 14th of June. Let's start with the headline — a mix of sunshine and fair-weather cloud dominating the scene. Wales and London and the home counties get the brunt of it — mild and comfortable. Top temperatures today around 18, give or take, depending where you are. Overnight, lows of about 10 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. And that's showing up in the day-to-day numbers. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. And that's your lot for now. Whatever you're up to, enjoy it."
2022-06-15,BBCNEWS_20220615_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Matt. Well, it's Wednesday the 15th of June, and there's a fair bit going on out there. The big picture today: heavy, thundery downpours breaking out for many of us. If you've got the barbecue on standby, today might just be your day. Across East Anglia and Northern Ireland it'll feel warm and very humid ahead of the storms. Some of these thunderstorms could bring localised flooding and frequent lightning. Temperatures peaking near 21 degrees, warmest across north west England. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. That's the shape of things. Whatever the sky throws at you, make the best of it."
2022-06-16,BBCNEWS_20220616_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Carol — and it's Thursday the 16th of June. Let's start with the headline — strong sunshine and clear blue skies dominating the scene. For London and the home counties, Wales and nearby, the word is hot and increasingly uncomfortable in the strong June sun. Top temperatures today around 22, give or take, depending where you are. Tonight, down to roughly 15 degrees — a muggy one. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. Whatever you've got planned, it's worth a glance out the window first. That's all from me — take care, and I'll see you next time."
2022-06-17,BBCNEWS_20220617_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Carol — and it's Friday the 17th of June. The broad story is strong sunshine and clear blue skies, pretty much wherever you are. Across the south west and Northern Ireland it'll feel hot and increasingly uncomfortable in the strong June sun. Uv levels will be high to very high, so do take care out there. I'll be honest, the forecast computers and I had words about this one. Into the afternoon, East Anglia sees much the same, with highs around 24 degrees. Overnight, lows of about 16 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2022-06-18,BBCNEWS_20220618_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Nina. Well, it's Saturday the 18th of June, and there's a fair bit going on out there. Spare a thought for anyone stuck on a stuffy commute in this. The big picture today: strong sunshine and clear blue skies for many of us. If you're in the Highlands or over towards Wales, expect it to feel hot and increasingly uncomfortable in the strong June sun. Top temperatures today around 23, give or take, depending where you are. After dark it dips to around 17 degrees, fresher in rural spots. Honestly, it's the kind of day that makes you forget this is Britain. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Right, that's me done. Look after yourselves out there."
2022-06-19,BBCNEWS_20220619_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Carol. Well, it's Sunday the 19th of June, and there's a fair bit going on out there. Overall, expect plenty of warm sunshine across much of the country. Across north west England and London and the home counties it'll feel pleasantly warm. Worth knowing — a lovely day to get outside if you can. Into the afternoon, Northern Ireland sees much the same, with highs around 20 degrees. Tonight, down to roughly 14 degrees — a muggy one. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. My garden's certainly not complaining about this one. That's the shape of things. Whatever the sky throws at you, make the best of it."
2022-06-20,BBCNEWS_20220620_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Nina. It's Monday the 20th of June, so let's see what's in store across the UK. The broad story is a mix of sunshine and fair-weather cloud, pretty much wherever you are. My garden's certainly not complaining about this one. For Northern Ireland, Wales and nearby, the word is mild and comfortable. If you've got the barbecue on standby, today might just be your day. Into the afternoon, the south east sees much the same, with highs around 19 degrees. Overnight, lows of about 11 degrees in towns and cities, a touch cooler in the countryside. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. One day's weather is just that, of course, but the pattern's telling. I'll leave you there. Thanks for watching Weather World."
2022-06-21,BBCNEWS_20220621_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Tomasz — and it's Tuesday the 21st of June. Overall, expect sunshine and scattered showers across much of the country. Northern ireland and southern Scotland get the brunt of it — changeable, warm in the brighter spells. Keep a brolly handy, the showers are hit and miss. Into the afternoon, the south west sees much the same, with highs around 17 degrees. If the washing's out, you might want a quick rescue mission. A fairly typical British summer's day, in other words — a bit of everything. After dark it dips to around 10 degrees, fresher in rural spots. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. And that's showing up in the day-to-day numbers. Right, that's me done. Look after yourselves out there."
2022-06-22,BBCNEWS_20220622_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Sarah. Wednesday the 22nd of June, and the charts are looking interesting. I know, I know — not what you wanted to hear on a weekend. Overall, expect sunshine and scattered showers across much of the country. For Wales, southern Scotland and nearby, the word is changeable, warm in the brighter spells. A quick heads-up: keep a brolly handy, the showers are hit and miss. Into the afternoon, the south east sees much the same, with highs around 17 degrees. Overnight, lows of about 8 degrees in towns and cities, a touch cooler in the countryside. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. And that's showing up in the day-to-day numbers. And that's your lot for now. Whatever you're up to, enjoy it."
2022-06-23,BBCNEWS_20220623_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Sarah. Coming up to Thursday the 23rd of June — here's how the next 24 hours are shaping up. Overall, expect a mix of sunshine and fair-weather cloud across much of the country. The midlands and north east England get the brunt of it — mild and comfortable. A quick heads-up: nothing too dramatic on the charts today. Top temperatures today around 17, give or take, depending where you are. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Overnight, lows of about 8 degrees in towns and cities, a touch cooler in the countryside. Stepping back, the month as a whole has been warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. That's all from me — take care, and I'll see you next time."
2022-06-24,BBCNEWS_20220624_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Nina. Coming up to Friday the 24th of June — here's how the next 24 hours are shaping up. The big picture today: plenty of warm sunshine for many of us. If you're in Wales or over towards the south west, expect it to feel pleasantly warm. Worth knowing — a lovely day to get outside if you can. Temperatures peaking near 21 degrees, warmest across East Anglia. Tonight, down to roughly 14 degrees — a muggy one. I'll be honest, the forecast computers and I had words about this one. Stepping back, the month as a whole has been warm overall with a short, sharp mid-month heatwave. Whatever you've got planned, it's worth a glance out the window first. And that's your lot for now. Whatever you're up to, enjoy it."
2022-06-25,BBCNEWS_20220625_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Owain. Coming up to Saturday the 25th of June — here's how the next 24 hours are shaping up. Overall, expect a mix of sunshine and fair-weather cloud across much of the country. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. My garden's certainly not complaining about this one. The midlands and Northern Ireland get the brunt of it — mild and comfortable. Into the afternoon, the south west sees much the same, with highs around 18 degrees. Tonight, down to roughly 12 degrees — a chilly one for June. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. I'll hand you back to the studio — see you next time."
2022-06-26,BBCNEWS_20220626_183000_Weather_World,"Good evening, and thanks for joining me on Weather World. I'm Sarah. It's Sunday the 26th of June, so let's see what's in store across the UK. The broad story is plenty of warm sunshine, pretty much wherever you are. Across the Midlands and north east England it'll feel pleasantly warm. A lovely day to get outside if you can. Top temperatures today around 21, give or take, depending where you are. After dark it dips to around 12 degrees, fresher in rural spots. If you've got the barbecue on standby, today might just be your day. I'll be honest, the forecast computers and I had words about this one. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. That's the shape of things. Whatever the sky throws at you, make the best of it."
2022-06-27,BBCNEWS_20220627_183000_Weather_World,"Hello, lovely to have your company on Weather World. I'm Carol. It's Monday the 27th of June, so let's see what's in store across the UK. Spare a thought for anyone stuck on a stuffy commute in this. The broad story is strong sunshine and clear blue skies, pretty much wherever you are. If you've got the barbecue on standby, today might just be your day. If you're in London and the home counties or over towards the south west, expect it to feel hot and increasingly uncomfortable in the strong June sun. Uv levels will be high to very high, so do take care out there. Into the afternoon, Wales sees much the same, with highs around 23 degrees. Overnight, lows of about 17 degrees in towns and cities, a touch cooler in the countryside. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. I'll hand you back to the studio — see you next time."
2022-06-28,BBCNEWS_20220628_183000_Weather_World,"Evening all — right, let's get stuck into the forecast. I'm Nina. Tuesday the 28th of June, and the charts are looking interesting. Overall, expect plenty of warm sunshine across much of the country. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. If you're in East Anglia or over towards north west England, expect it to feel pleasantly warm. A lovely day to get outside if you can. Into the afternoon, north east England sees much the same, with highs around 19 degrees. I'll be honest, the forecast computers and I had words about this one. After dark it dips to around 11 degrees, fresher in rural spots. And in the wider context — June so far: warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. And that's your lot for now. Whatever you're up to, enjoy it."
2022-06-29,BBCNEWS_20220629_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Nina. It's Wednesday the 29th of June, so let's see what's in store across the UK. The big picture today: sunshine and scattered showers for many of us. For the Midlands, East Anglia and nearby, the word is changeable, warm in the brighter spells. I know, I know — not what you wanted to hear on a weekend. By mid-afternoon we're looking at about 17 degrees in the south west. Hay fever sufferers, I'm afraid the pollen count is going to be a nuisance. Overnight, lows of about 11 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. And that's showing up in the day-to-day numbers. That's all from me — take care, and I'll see you next time."
2022-06-30,BBCNEWS_20220630_183000_Weather_World,"Hello and a very warm welcome to Weather World. I'm Carol — and it's Thursday the 30th of June. Overall, expect sunshine and scattered showers across much of the country. If you're in London and the home counties or over towards the south west, expect it to feel changeable, warm in the brighter spells. Top temperatures today around 17, give or take, depending where you are. Tonight, down to roughly 11 degrees — a chilly one for June. Looking at the bigger trend, this June has been warm overall with a short, sharp mid-month heatwave. Worth keeping an eye on as the summer unfolds. Spare a thought for anyone who's just washed the car. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2023-06-01,BBCNEWS_20230601_183000_Weather_World,"Well hello there, and a very good evening to you. I'm Nina — and it's Thursday the 01st of June. Let's start with the headline — plenty of warm sunshine dominating the scene. For Northern Ireland, the Highlands and nearby, the word is pleasantly warm. Temperatures peaking near 22 degrees, warmest across north east England. After dark it dips to around 14 degrees, fresher in rural spots. Whatever you've got planned, it's worth a glance out the window first. Looking at the bigger trend, this June has been provisionally the hottest June on record for the UK. I'll leave you there. Thanks for watching Weather World."
2023-06-02,BBCNEWS_20230602_183000_Weather_World,"Hi there, and welcome along to Weather World. I'm Carol. Friday the 02nd of June, and the charts are looking interesting. The big picture today: plenty of warm sunshine for many of us. Across Northern Ireland and the Highlands it'll feel pleasantly warm. A quick heads-up: a lovely day to get outside if you can. Top temperatures today around 21, give or take, depending where you are. And in the wider context — June so far: provisionally the hottest June on record for the UK. I'll be honest, the forecast computers and I had words about this one. I'll hand you back to the studio — see you next time."
2023-06-03,BBCNEWS_20230603_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Tomasz. Coming up to Saturday the 03rd of June — here's how the next 24 hours are shaping up. The broad story is heavy, thundery downpours breaking out, pretty much wherever you are. If you've got the barbecue on standby, today might just be your day. Across the south west and London and the home counties it'll feel warm and very humid ahead of the storms. Worth knowing — some of these thunderstorms could bring localised flooding and frequent lightning. Temperatures peaking near 23 degrees, warmest across the Highlands. After dark it dips to around 16 degrees, fresher in rural spots. Looking at the bigger trend, this June has been provisionally the hottest June on record for the UK. That's the latest picture — do wrap up or cool down as needed. Bye for now."
2023-06-04,BBCNEWS_20230604_183000_Weather_World,"Hiya, welcome to Weather World, grab a cuppa and settle in. I'm Carol. Well, it's Sunday the 04th of June, and there's a fair bit going on out there. The broad story is rather a lot of cloud around, pretty much wherever you are. If you're in north east England or over towards Wales, expect it to feel on the cool side for the time of year. You might want a light jacket first thing. By mid-afternoon we're looking at about 17 degrees in north west England. I'd keep the heating within easy reach, I won't lie. Overnight, lows of about 10 degrees in towns and cities, a touch cooler in the countryside. Looking at the bigger trend, this June has been provisionally the hottest June on record for the UK. And on that note, I'll say cheerio. Back again soon."
2023-06-05,BBCNEWS_20230605_183000_Weather_World,"Welcome back to Weather World — plenty to talk about today. I'm Sarah. Well, it's Monday the 05th of June, and there's a fair bit going on out there. The broad story is strong sunshine and clear blue skies, pretty much wherever you are. North west england and East Anglia get the brunt of it — hot and increasingly uncomfortable in the strong June sun. Uv levels will be high to very high, so do take care out there. Temperatures peaking near 25 degrees, warmest across north east England. Tonight, down to roughly 16 degrees — a muggy one. And in the wider context — June so far: provisionally the hottest June on record for the UK. Whatever you've got planned, it's worth a glance out the window first. And that's showing up in the day-to-day numbers. That's the latest picture — do wrap up or cool down as needed. Bye for now."
